chest,lung,brain,abdominal,artery,lobe,liver,abdomen
"posteroanterior chest x-ray illustrates cardiomegaly, pulmonary congestion, and widened superior mediastinum.",,,"curvilinear reformation reconstruction in another patient after endovascular repair of abdominal aortic aneurysm. in contrast to what is shown in figure 4, not all of the information is displayed in this image and the left common iliac artery is missing (arrows) as this anatomy is not in the selected plane.",a significant stenosis is seen between the markers of the bare metal stent in the mid segment of the lad (left anterior descending) artery,,,
"computed tomography angiography of the chest with right-sided arterial emboli. coronal section of this patient’s computed tomography angiography demonstrates a filling defect within the pulmonary vasculature, most likely representing emboli. at the time of this study, the patient was being treated with a novel oral anticoagulant (rivaroxaban)",,,"axial noncontrasted image at the level of the porta hepatis obtained at 9.5 months. it demonstrates free-flowing, homogenous fluid tracking along liver, spleen, and left lateral abdominal wall. the “rind” has resolved.",the tip of swan-ganz catheter has been withdrawn into the right main pulmonary artery (hollow arrow),,,
single-photon emission computed tomography/computed tomography of chest showing increased uptake localized to anterior mediastinal mass lesion,,,abdominal x-ray showing a radiopaque shadow of 2.7cm × 1.5cm over the pelvis.,the left gastric artery is seen between the liver and stomach in the upper part of the gastrohepatic ligament,,,
chest ct scan showing left-sided pneumothorax.,,,abdominal radiograph showing multiple air fluid levels and a large dilated small bowel loop reaching up to the left dome of diaphragm.,approximately 99% stenosis of the proximal-left anterior descending coronary artery as revealed by coronary angiography.,,,
chest radiography reveals pneumothorax of right lung.,,,abdominal ct with iv contrast showing neoplasm of the pancreatic tail in close contact with the spleen.,axial section of ct of the abdomen with intravenous contrast. the arrow indicates the underlying lesion to the pancreas (splenic artery aneurysm).,,,
"chest x ray in anteroposterior projection after the procedure showing the pulse generator and lead position in the ventricular apex. features of left isomerism include bilateral horizontal left sided bronchus, midline liver and right sided gastric shadow.",,,"abdominal ct, portal phase showing enlarged left suprarenal gland.",sagittal ct-angiogram showing severe stenosis of the right carotid artery.,,,
"chest x-ray on admission. chest x-ray showed alveolar opacities in both lungs, especially in the perihilar and pericardiac zones.",,,abdominal x-ray examination with barium enema. note the dilatation of the sigmoid colon,it is usually possible to follow the course of the left coronary artery for some distance,,,
chest drain inserted for continuous irrigation post-procedure,,,abdominal radiograph obtained on hd 2 demonstrated dilation of the proximal bowel with normal caliber distal bowel and a paucity of air in the rectum.,corevalve delivery system is advanced through 18 fr sheath inserted into the lt. subclavian artery.,,,
chest us prior to thoracentesis demonstrating anechoic pleural fluid (b). a = collapsed lung parenchyma; c = liver.,,,abdominal ultrasonography shows a hemorrhagic complicated giant cystic mass with septation and multifocal hyperechoic solid components in the right liver.,contrast ct showing position of outflow graft (og) in relation to pulmonary artery (pa) and aorta (ao).,,,
chest radiograph seven months after bronchoscopic resection.,,,abdominal x-ray revealed dilated small bowel segments with some air-fluid levels.,"the aortic arch (ao) as viewed from the anterior toracic wall (pa, pulmonary artery; head and neck vessels are indicated by the small arrows)",,,
chest x-ray anteroposterior view,,,"abdominal ultrasound showing embryo transfer catheter and presence of air bubble at the fundus. reference: woolcott r, stanger j. potentially important variables identified by transvaginal ultrasound-guided embryo transfer. hum reprod,1997;12(5):963-6.",selective right coronary angiography shows a widely dilated right coronary artery.,,,
lateral chest x-ray showing the shadow of retained bullet in the cardiac silhouette,,,abdominal ct shows the cystic mass originating from the gallbladder fossa.,image from arteriogram prior to delivery demonstrates arterial supply to the placenta from an enlarged left ovarian artery (black arrowheads) and the left uterine artery (white arrowheads).,,,
chest x-ray in anteroposterior view showing mild right pleural effusion (arrow),,,nonenhanced abdominal computed tomography revealed multiple calcifications along the periportal areas of both hepatic lobes and the hepatic hilum.,"coronary reconstruction of contrast-enhanced computed tomography scan. the 2 small white arrows from left to right show the other bronchial aneurysm and phrenic artery aneurysm, respectively.",,,
chest x-ray – left-sided massive hemothorax,,,computed tomography scanning showed an abdominal wall defect with 10 cm in diameter and a huge mass with 25 cm in diameter containing loops of bowel.,"in addition to known venous thrombi, the magnetic resonance angiography revealed a recent mycotic aneurysm in the right internal carotid artery, directly adjacent to the previously thrombosed cavernous sinus on the right side.",,,
post-operative chest x-ray and intra-bronchial contrast material with initial tracheal stent in place. note the pulmonary hyper inflation,,,67-year-old female with epigastric and left-upper-quadrant abdominal pain. contrast-enhanced axial ct image shows peripancreatic inflammatory changes (arrows) along with hypoattenuation and enlargement of the pancreatic head.,"50-year-old male with a glomus jugulotympanicum. coronal ct angiogram. reformatted image after contrast administration demonstrates enhancing mass centered in the left middle ear, extending intracranially to the middle cranial fossa. the tumor can also be seen surrounding the vertical segment of the left petrous internal carotid artery with extension into the left peri-auricular region.",,,
chest radiograph showing bilateral pleural effusion and alveolar infiltrates,,,abdominal ct (computed tomography) revealed 127 × 13 × 19 cm fluid collection with septation inside.,blood flow was restored after percutaneous coronary intervention of the lad coronary artery (arrow).,,,
chest pulmonary angiography computed tomography (contrast enhanced) showed positron emission tomography in both lower lobes basal pulmonary arteries and 32-mm sized extent consolidation (arrow) in right lower lobe posterior segment considering pulmonary infarction.,,,abdominal ct showing a slightly enhanced tumor of 35 mm in diameter in s5 of the liver in the arterial phase before deb-tace (arrow).,axial t2-weighted mr image shows a persistent trigeminal artery (arrow) coursing from the cavernous left internal carotid artery posteriorly and medially to anastomose with the midbasilar artery.,,,
cta chest showing bilateral ground glass opacities and highlighting the left endobronchial lesion (yellow circle).,,,"postoperative findings after laparoscopic left partial nephrectomy, image shows a posterior location of the left kidney, which abuts the posterior abdominal wall.","left anterior oblique coronary angiography view of the patient, showing multiple stenosis at mid and distal parts of the right coronary artery (arrows)",,,
