x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
"anteroposterior chest x-ray. the right internal jugular cannula is visible. arrow, catheter tip. suture of the catheter tip to the heart was highly suspected, and another thoracotomy was scheduled on postoperative day eight. movement was noted at the interatrial groove incision near the atrial-caval junction while extracting the catheter. four needles were made with mattress suture around the interatrial groove incision, and the catheter was removed easily after loosening the original threads, which suggested that the catheter had been sutured to the atrial septal tissue. our patient had an uneventful recovery and the endotracheal tube was extracted the next day.",,,,,,,
postoperative chest x-ray performed immediately postoperatively demonstrated no evidence of intrathoracic fluid collection.,,,,,,,
,,x-ray of abdomen (13112001) this abdominal x-ray shows the radio opaque shadow previously located in left loin is no longer present.,,,,,
"chest x-ray, 2 h after admission, revealing a rapidly evolving right pleural effusion.",,,,,,,
chest x-ray ap view: opacity at left base consistent with a moderate left-sided pleural effusion; pacemaker leads appear to be present in the right ventricle.,,,,,,,
,,abdominal x-ray of small bowel obstruction due to right iliac fossa mass.,,,,,
chest x-ray showing infiltrate in the left lung.,,,,,,,
chest x-ray obtained on the seventh day of oral anti-biotic therapy. the lytic lesions in the proximal and distal metaphysis in the right humerus are shown.,,,,,,,
"chest x-ray showing left side anterior chest wall deformity with absent 3rd, 4th and 5th ribs",,,,,,,
"posteroanterior x-ray chest (frontal incidence): i) homogeneous opacity without air bronchogram, vertically oriented along the right lateral aspect of thoracic vertebrae with an obtuse angle to the mediastinum suggestive of a mediastinal opacity; ii) the upper extremity of the mass extends above the superior clavicle, therefore, it is probably located within the posterior mediastinum (cervicothoracic sign); iii) no mediastal shift; iv) no spinal or costal abnormalities seen.",,,,,,,
chest x-ray of a 46-year-old male with end stage renal disease who died at initial presentation.,,,,,,,
chest x-ray day 18 after chemotherapy (anc was 1100 cell/μl).,,,,,,,
preoperative chest x-ray shows no specific lesion.,,,,,,,
postprocedure chest x-ray demonstrated proper positions of both right atrial and ventricular leads. no evidence of pleural effusions or pneumothorax were seen,,,,,,,
anteroposterior (ap) view of chest x-ray showing extensive subcutaneous emphysema in the chest and neck.,,,,,,,
,,,,,,"scheuermann signs on a lateral x-ray in the thoracolumbar region. the schmorl's nodes and endplate irregularity may be so severe that lumbar scheuermann's disease can be confused with infection, tumor, or other conditions [8].",
chest x-ray (pa view) with left hilar fullness but no pulmonary lesions.,,,,,,,
appropriate localization of the external jugular vein catheter on chest x-ray. catheter tip marked with an arrow.,,,,,,,
"follow up chest x-ray, six years after the surgery and finishing the chemo and radiotherapy.",,,,,,,
initial chest x-ray showing a metallic foreign body extending from abdomen into chest,,,,,,,
,,standing antero posterior thoracic-abdominal x-ray,,,,,
chest x-rays after the endobronchial resection of the tumor showing re-expansion of the left lung.,,,,,,,
postoperative chest x-ray. blue arrow: residual lead fragment.,,,,,,,
"chest x-ray for patient 2, a 30-year-old woman, showing a globular heart with oligemic lung fields.",,,,,,,
chest x-ray showing widespread lung hyperinflation and severe cardiomegaly.,,,,,,,
chest x-ray ap view showing reticulonodular infiltrates and microcalcifications.,,,,,,,
chest x-ray: clearly defined homogenous opacity with partially calcific wall in the right hemithorax.,,,,,,,
postero-anterior (pa) chest x-ray.,,,,,,,
chest x-ray showing fusion of 3rd and 4th ribs on left side,,,,,,,
chest x-ray showing bilateral clavicular hypoplasia.,,,,,,,
erect chest x-ray showing free air under the right diaphragm.,,,,,,,
chest x-ray showing elevation of the right hemidiaphragm.,,,,,,,
"chest x-ray showing pulmonary infiltrates, pneumothorax, pneumomediastinum",,,,,,,
,,abdominal x-ray showing the presence of air-fluid levels,,,,,
day 4 post op chest x-ray showed a large volume of free gas under both hemi-diaphragms with multiple abnormally dilated loops of large and small bowel-features consistent with perforation of a hollow viscus.,,,,,,,
chest x-ray made during current presentation,,,,,,,
chest x-ray shows a bullet adjacent to the right cardiac border and bilateral pleural effusion.,,,,,,,
x-ray of chest on day of injury. black arrows: subcutaneous emphysema. white arrows: pneumomediastinum,,,,,,,
a follow-up chest x-ray on the third postoperative day showed loculated right pleural effusion and progressive lung infiltration that involved both lung fields.,,,,,,,
,,"case 1: 3-month-old male child presenting with symptoms of pallor, abdominal distension, petechial rashes, and recurrent respiratory infections later diagnosed with congenital leukemia. x-ray of dorsolumbar spine shows osteopenia with prominent vertebral end plates (arrows).",,,,,
preoperative chest x-ray of a 45-year-old female patient with diabetes who had dyspnea for 22 months shows that left diaphragm ascended up to infrahiler level.,,,,,,,
initial chest x-ray revealed right upper lobe alveolar infiltration.,,,,,,,
chest x-ray on admission: reticular shadows with ggo,,,,,,,
chest x-ray after whole lung lavage,,,,,,,
,,a plastic 5f stent placed into the main pancreatic duct on a plain abdominal x-ray.,,,,,
chest x-ray after 12 h of management showing clearance of haziness,,,,,,,
x-ray chest showing left pleural based mass.,,,,,,,
posttapping chest-x-ray showing a unilateral left pleural effusion and the mass labeled (a),,,,,,,
,,,,preoperative x-ray image with migrated amplatzer duct occluder shape in the left pulmonary artery area. note that there is marked disproportion between excessive pulmonary bed on the right and the lack of vasculature seen in the left lung,,,
"chest x-ray on admission to icu, showing right consolidation and pleural effusion.",,,,,,,
chest x-ray showing dense right-sided consolidation,,,,,,,
chest x-ray immediately showing bilateral extensive infiltrates.,,,,,,,
chest x-ray demonstrated a characteristic diffuse sand-like micronodulations throughout both lung fields,,,,,,,
chest x-ray (lateral view): re-accumulation of massive left sided pleural effusion.,,,,,,,
"chest x-ray of a patient diagnosed with combined pulmonary fibrosis and emphysema demonstrating bilateral interstitial pattern, predominantly right sided, with reticulonodular infiltrates in the lung bases and subpleural region, and a reduction of lung density in upper lung fields, mainly on the left.",,,,,,,
immediate postoperative chest x-ray,,,,,,,
,,,,,plain skull x-ray film showing an irregular lytic lesion of the right parietal lobe.,,
chest x-ray showed consolidation of the upper two thirds of the left lung.,,,,,,,
x-ray chest pa view dated 28.10.13 showing resolution of lesions as compared to figure 1b,,,,,,,
"x-ray chest, pa view, after phenytoin withdrawal, showing marked radiological improvement",,,,,,,
chest x-ray on pod 9 after nhf therapy was applied shows improvement of the atelectasis.,,,,,,,
chest x-ray lateral view.,,,,,,,
"chest x-ray (posteroanterior view) displaying bilateral, ovoid-shaped perihilar opacities extending to lower lung zones with loss of silhouette sign on the left cardiac border",,,,,,,
mobile chest x-ray displaying oligemic lung fields,,,,,,,
the first chest x-ray. we find a pneumothorax on the right with a subtotal lung collapse.,,,,,,,
x-ray chest showing right mid zone cavitary lesion,,,,,,,
chest x-ray obtained in june 2014 showing reticulonodular shadows in both lung fields,,,,,,,
chest x-ray ap view showing enlarged pericardial silhouette and right hilar mass.,,,,,,,
chest x-ray showing the hyperinflated endotracheal cuff,,,,,,,
chest x-ray (pa view) showing emphysematous bullae in the right upper lung zone (marked by arrow) without any visible mass or mediastinal widening.,,,,,,,
anteroposterior chest x-ray showing left sided pleural-based mass.,,,,,,,
,,abdominal x-ray showing the two overlapping self-expandable metal stents a few days after placement,,,,,
the left chest-x-ray revealed alveolar infiltration in the right lower lobe before diagnosis.,,,,,,,
chest x-ray showing predominant emphysematous changes along with a nodular non-calcified mass in right lung.,,,,,,,
"water bottle sign on chest x-ray (hellerhoff, 2010).",,,,,,,
chest x-ray of case 3.,,,,,,,
plain x-ray chest showing multiple segmentation anomalies of cervicodorsal vertebrae along with fusion anomalies of ribs on both sides,,,,,,,
chest x-ray of a 77-year-old female with a malignant solitary fibrous tumor showing three large masses in the right pleural muscles.,,,,,,,
the chest x-ray shows the central venous catheter (arrow) perforating through the central vein and the left pleura.,,,,,,,
chest x-ray revealing ovoid lucency in left upper zone consistent with cavitary lesion.,,,,,,,
chest x-ray (pa view): adjacent left basilar infiltrates and mild atelectasis. no infiltrates are seen on the right side,,,,,,,
"after adequate treatment, a chest x-ray demonstrated the absence of pulmonary hemorrhage.",,,,,,,
,,abdominal x-ray.,,,,,
"a chest x-ray in the posteroanterior view showing pneumomediastinum, subcutaneous emphysema and pneumothorax.",,,,,,,
x-ray chest posteroanterior view resembling a picture of hydropneumothorax,,,,,,,
x-ray chest pa view showing pulmonary oedema,,,,,,,
chest x-ray of patient at admission.,,,,,,,
chest x-ray after two weeks of treatment with antituberclosis drugs. it shows clearance of the shadows and mediastinal lymphadenopathy,,,,,,,
"chest x-ray of case 2 shows an abnormal cardiomediastinal silhouette caused by a large left-sided mediastinal mass extending within the superior hemithorax medially. in addition, large left-sided pleural effusion is present, and several nodular opacities are noted in the left lung",,,,,,,
figure 2: x-ray neck and chest: showing opaque shadow of a 5 rupee coin in the cervical esophagus in the 1st patient,,,,,,,
first chest x-ray (normal).,,,,,,,
chest x-ray showing right hilar mass which was found malignant on bronchoscopy,,,,,,,
chest x-ray at 5:00 am on the day of admission.,,,,,,,
,,abdominal supine x-ray showed dilatation of large bowel segments.,,,,,
admission chest x-ray showing large left pleural effusion.,,,,,,,
chest x-ray on admission.,,,,,,,
chest x-ray of the patient on the first postoperative day.,,,,,,,
chest x-ray showing diffuse mottling of both lungs simulating military tuberculosis.,,,,,,,
,,lateral plain abdominal x-ray showing twisting of the connecting wires adjacent to the ipg,,,,,
"chest x-ray demonstrated a mass-like opacity (3.3 × 2.8 cm) in the left lower lung. there were diffuse interstitial infiltrates in both the lungs, which suggested pneumonia.",,,,,,,
chest x-ray showing right-sided pyopneumothorax with bilateral parenchymal lesions,,,,,,,
chest x-ray taken at initial presentation-showing mass in right hemi-thorax causing mediastinal displacement. thoracic vertebral anomalies can also be identified,,,,,,,
