computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
"computed tomography chest with intravenous contrast shows a complex pleural effusion, as well as radiographic visualization of the subcutaneous nodule. a, the anterior–posterior dimensions of the subcutaneous chest wall nodule. b, the medial–lateral dimensions of the subcutaneous chest wall nodule.",,,,,,,,,
computed tomography of the chest showed a large mass in the posterior mediastinum.,,,,,,,,,
,,,,,coronal arterial phase contrast computed tomography scan showing the inferior vena cava with a cross-sectional diameter of 39.5 mm before the bifurcation of the iliac veins. note the right common iliac artery crossing the vena cava anteriorly. varicose vein dilatation in the lesser pelvis,,,,
,,,,"abdominal computed tomography showing multiple liver abscesses of a 28-year-old male homosexual who presented with right upper quadrant pain, vomiting, and watery diarrhea for 4 days.diagnosis of amebic liver abscess was confirmed by positive pcr for entamoeba histolytica of the liver abscess aspirate. the titer of indirect hemagglutination antibody for e. histolytica was 8192.",,,,,
,,,"plain computed tomography scan of brain, axial view showing well circumscribed, midline placed, hyperdense lesion in posterior fossa, without hydrocephalous",,,,,,
,,,,,,,computed tomography scan of a 50-year-old female with right pleural effusion and bilateral nodules in the upper lobes. bronchoscopic samples were negative and the diagnosis was obtained only by thoracoscopy.,,
chest computed tomography shows centrilobular ground-glass nodules (arrows) and consolidations with a heterogeneous aspect (open arrows).,,,,,,,,,
,,,,,,,,"radiotherapy planning ct of a study patient after lumpectomy and slnb with an elective radiation dose at the surgical clip. the breast tumor of this patient was located in the mediocaudal quadrant of the breast; the tumor bed is not visible on this ct image. the yellow line contouring the breast represents the 95 % isodose, i.e. all spots on this line received at least 95 % of the prescribed dose; the orange line represents the 90 % isodose; the dark blue line represents the 50 % isodose; the light blue line represents the clinical target volume of the breast; and the red line represents the planning target volume of the breast. the surgical clip at the sln site is contoured by a green line. ct computed tomography, slnb sentinel lymph node biopsy, sln sentinel lymph node",
,axial computed tomography image in lung window,,,,,,,,
,,,,,intestinal tuberculosis in a 37-year-old woman. coronal computed tomography enterography image shows circumferential wall thickening in the ileocecal valve area (arrow). such ileocecal involvement is the most common form of intestinal tuberculosis.,,,,
,,,,,,,,"computed tomography images. computed tomography reveals a well demarcated, heterogeneous, esophageal tumor in the mid-thoracic esophagus (arrow). the longitudinal diameter of the tumor was 60 mm.",
,,,,,,,computed tomography scan of the thorax showing left-sided local relapse in the pleura and thoracic wall after lobectomy. status before palliative radiotherapy.,,
preoperative chest computed tomography. subpleural and peribronchovascular reticulation with macrocystic honeycombing is visible in both lungs.,,,,,,,,,
chest computed tomography on admission. a few thinwalled bullae with air-fluid levels in both lungs and pneumomediastinum,,,,,,,,,
,,,computed tomography scan at the level of the midbrain. multiple contusions involving the left temporal lobe are evident (arrows). a = anterior; p = posterior; l = left; r = right.,,,,,,
,,,,abdominal computed tomography (ct) showing bowel tethering posterior to lobulated fluid collection on retraction of the root of the mesentery (red arrow).,,,,,
chest computed tomography demonstrating severe pulmonary oedema,,,,,,,,,
,,,,,,cranial computed tomography scan shows a mass of soft tissue (arrow) surrounding the internal jugular vein and the carotid artery at the left jugular foramen with signs of bone erosion and destruction. the lesion extends medially and causes bone destruction of the left occipital condyle and the left side edge of the clivus and erosion of the posterior edge of the oval hole. in the petrous bone it extends to the middle ear and causes erosion of the anterior wall of the tympanic cavity. the mass goes along the petrous carotid reducing its caliber and causing bone destruction of the anterior edge of the carotid canal extending to the petrous apex,,,
"chest computed tomography angiogram showing multiple bilateral large areas of ground-glass opacities, centered along the bronchovascular bundles.",,,,,,,,,
,,,,double contrast abdominal computed tomography scan showed mild ectasia of pancreatic duct,,,,,
,,,,"computed tomography showed scattered gas collection (arrow) over the left psoas, latero-vertebral muscles, fascias, and subcutaneous lower abdominal tissues",,,,,
,,,,,,"thin-slab maximum intensity projection view of the left anterior descending (lad) artery shown on computed tomography angiography, revealing the myocardial bridging of the mid-lad artery (black arrow). its depth was measured as 1.4 mm (between the two small white arrows).",,,
,,,,,,,,,contrast-enhanced computed tomography of the abdomen showing gallbladder neck mass infiltrating biliary tree at porta with proximal biliary dilatation and liver metastases
high-resolution computed tomography (hrct) of the chest showing a mass in the left hemithorax with coarse calcifications,,,,,,,,,
"computed tomography of the chest showing patchy consolidation, centrilobular nodules, and tree-in-bud opacities in both the lower lobes",,,,,,,,,
"high resolution computed tomography of chest showing symmetric bilateral reticulation, architectural distortion, and honeycombing involving subpleural lung regions of both the lower lobes",,,,,,,,,
,,,,,,,,"computed tomography scan revealing two circular low density areas with clear boundaries. circular, radiative, enhanced signals were observed at the margin of the tumor mass.",
,,,,"tumor appearance of abdominal computed tomography. an oval and sharply circumscribed low-density mass, with slight peripheral enhancement and a blood vessel through the mass (arrow).",,,,,
,,,,,,,,,abdominopelvic contrast-enhanced computed tomography. multiple liver abscesses and mesenteric partial thrombosis.
subcutaneous emphysema and pneumomediastinum on computed tomography (ct) of the chest as indicated by arrows,,,,,,,,,
,,,brain computed tomography scan image with drainage tube due to severe hydrocephalus.,,,,,,
computed tomography of the chest showing migrated k-wire extending from the inner cortex of right second rib to the upper part of right middle lobe with a hydropneumothorax.,,,,,,,,,
,,,,,computed tomography scan of the head in coronal view shows the left elongated styloid process (7.55 cm) (red arrow),,,,
high-resolution ct of chest showed a linear radio-opaque foreign body (arrow) at the right upper lobe apical segment and hematoma around the right subclavian artery. ct = computed tomography.,,,,,,,,,
,,,,,,,,computed tomography scan showing a subglottic tumor completely obstructing the laryngeal lumen. arrow shows the subglottic tumor while the glottis area is free of disease (figure 1).,
,,,non-contrast computed tomography scan brain showing subarachnoid hemorrhage (sah). black solid arrows indicating sah,,,,,,
,,,,,,,,retroperitoneal gastrointestinal stromal tumors in 40-year-old male — axial contrast-enhanced computed tomography image showing large heterogeneously enhancing necrotic mass lesion (arrowhead) in the retroperitoneum with peritoneal deposits (arrow),
,,,,,,,"computed tomography showing an ill defined, intraparenchymal tumor obliterating most of the right lobe of the liver (transverse section).",,
,,,,,,,,"computed tomography demonstrated cancer of the common bile duct. the tumor was located just above the intrapancreatic segment, with consequent dilatation of the proximal biliary tree (white arrow).",
,,,"initial brain computed tomography (ct) scan reveals a diffuse and thick subarachnoid hemorrhage in the basal cisterns, the bilateral sylvian fissures, and the anterior interhemispheric fissure.",,,,,,
axial contrast-enhanced computed tomography scan of upper chest shows encasement and compression of superior vena cava (red arrow) by tumor (orange arrow). note collateral veins in anterior mediastinum (green arrow).,,,,,,,,,
