mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,"a 24 year old male presented with acute onset headache with drowsiness in the background of recent fever. on examination he had pupil sparing ptosis, vertical gaze paresis, mild sensory neural deafness and bilateral subtle pyramidal signs. mri brain showed symmetric hyperintense lesions in the caudate nuclei and putamina extending into the thalami and periaqueductal regions, on t2w images (figure 6). his serum and csf lactic acid levels were raised.a quadriceps mucle biopsy revealed subsarcoplasmic accumuilation of mitochondria) associated with cytochrome oxidase negative fibres. no mitochondrial mutations were detected. following intravenous thiamine therapy he recovered rapidly",,,,,,
,,,,,,,"mri scan obtained november 2012. axial t1 image showed multiple small peripheral airspace opacities in the right lower lobe (yellow arrow), which was compatible with alveolar hemorrhage given the patient’s history and clinical presentation.",,
,,,,,,,,,t2 weighted mri showing multiple hyperinetense cysts in liver and both kidneys
,,,"brain mri sagittal section in t1, showing mild cerebellar atrophy in a patient with ctx.",,,,,,
,,,,the figure shows mri image of giant pelvic mass filling whole abdominal cavity with heterogenous and semisolid appearance (corresponding the image between four white callipers).,,,,,
,,,,"abdominal mri showing a well-defined encapsulated mass, in the left paraspinal region at the l5 level along the posterior side of left psoas muscle.",,,,,
,,,,,,,,contrast axial mri shows the extension of the tumor into the internal auditory canal represents “shark fin” appearance (white arrow).,
,,,,,coronal mri slice of the right wrist. the proximal pole of the capitate has a low-intensity signal (milliez type i).,,,,
,,,mri brain showing infarcts in bilateral heschl gyri.,,,,,,
,,,mri of the brain. mri was performed on patient 1 at 12 years of age. t1w1 sagittal image demonstrates prominent cerebellar atrophy involving superior and middle cerebellar folia. axial images (not shown) revealed normal subcortical and cerebellar white matter. mr spectroscopy was normal (not shown). repeat mri imaging at 16 years old was unchanged (not shown). mri of the brain (patient 2) showed a similar pattern but milder cerebellar atrophy (not shown).,,,,,,
,,,diffusion-weighted image of the brain mri taken on day 9 with high intensity areas on the left middle cerebral artery region.,,,,,,
,,,"sagittal mri view of the brain at the age of 17 showing diffuse increased t2 signal in the subcortical and periventricular white matter demonstrating diffuse leukodystrophy. ge sagittal t2 cube image performed on a 3t mr ge scanner with tr: 3000, te: 69.1.",,,,,,
,,,,"abdominal magnetic resonance imaging (mri) shows a pancreas head only, with nonvisualization of the body and tail.",,,,,
,,,,,three months after pasireotide therapy. mri scan of pituitary – coronal view – t1 weighted image with gadolinium contrast showing residual pituitary tumour with invasion of cavernous sinus showing loss of enhancement.,,,,
,,,,,a single coronal image of a proton density (pd) magnetic resonance imaging (mri) sequence demonstrating the measuring technique for the tibial eminence volume. the measuring technique was applied to all coronal slices of the tibial eminences and summated to generate the volumetric data,,,,
,,,,,,,,postoperative mri of a 55-year-old male patient revealed an irregularly shaped residual tumor with cs invasion after str (green area).,
,,,,,,,mri of the cervical region showing the right thyroid lobe with a nodular structure and right cervical lymph nodes highly suspicious for malignancy,,
,,,postoperative brain mri shows the bilateral vas transposed from the brainstem.,,,,,,
,,,"32-year-old man with history of wilson's disease who presents with slurred speech. fluid-attenuated inversion recovery sequence, axial mri image shows presence of hyperintensities involving dorsal midbrain.",,,,,,
,,,,,"a 13-year-3-month-old female with fope zones at both proximal tibiae. findings: coronal proton density fat-saturated image from follow-up of right knee mri obtained 6 months after initial mri shows decrease in the marrow edema surrounding the osteochondral lesion of the medial femoral condyle. the osteochondral lesion (arrow) is otherwise unchanged in appearance. technique: coronal pd fat-saturated mri (tr = 2,472.4, te = 30), st = 2.5 mm, spacing = 3.3 mm, fov = 14 cm, and matrix = 312 × 244.",,,,
,,,,"stimulated ovary without torsion diagnosed as torsion by mri. axial t2 weighted mr image of the pelvis in a 31-year-old woman with abdominal pain and leukocytosis at 5 weeks 6 days gestational age demonstrates marked asymmetric enlargement of the right ovary (arrow) with increased right ovarian stromal signal intensity. prospective and retrospective mri diagnosis was ovarian torsion, but further history (not available at the time of image interpretation) revealed known asymmetric enlargement of the right ovary since the time of egg retrieval",,,,,
,,,,,osteoid osteoma. stir coronal mri shows the nidus (white arrow) along with marrow edema (black arrow),,,,
,,,brain mri shows symmetrical normal-sized hippocampi.,,,,,,
,,,,,,,,case 1- mri defines the margins of the tumor.,
,,,brain mri abnormalities in an anti-mog antibody-positive patient. axial t2-flair (fluid-attenuated inversion recovery) brain mri of a mog-seropositive nmo patient 31 years after disease manifestation with combined optic neuritis and transverse myelitis showed multiple abnormalities fulfilling barkhof criteria and resembling multiple sclerosis lesions.,,,,,,
,,,,,,,,"mri showed a high-intensity signal for the vx2 tumor (white arrow) on diffusion images, allowing clear visualization of the boundary. no necrosis with low-intensity signals was detected for the vx2 tumor prior to treatment.",
,,,,,,,,cystadenofibroma of the ovary/partial borderline tumor in a pregnant patient (week 22 of gestation) with a typical morphology for a borderline tumor on mri. the patient was operated during pregnancy (week 24 of gestation).,
,,,,,t2 weighted coronal mri scan showing abnormal increased signal in the distal supraspinatus tendon which appears to be thinned and compressed with no definite tear or tendon retraction seen,,,,
,,,"mri brain on hospital day 36, with punctate enhancing lesions and one notable ring-enhancing lesion (t1 post contrast).",,,,,,
,,,,,,,,postcontrast t1-w axial mri image showing complete excision of tumor in follow-up,
,,,,,mri coronal section at 6 weeks follows up. resolution of inflammatory fluid.,,,,
,,,initial brain mri t1-wi axial plane of a patient with ephedrone encephalopathy: symmetrically high intensity signal in globi pallidi (globus pallidus to frontal lobe white matter signal intensity ratio is ca. 152%).,,,,,,
,,,,,magnetic resonance imaging (mri) in coronal section showing image of the tumor together with intense edema in the lateral distal region of the clavicle.,,,,
,,,brain mri showed enhancement in bilateral hippocampus.,,,,,,
,,,pre-operative mri brain (p+c) of 32 m having left sided giant vestibular schwannomas (hannover stage 4b),,,,,,
,,,mri brain plain. arrows show hemiatrophy and reduction in the volume of brain parenchyma and thinning of grey matter,,,,,,
,,,mri brain showing hypoplastic pituitary with visible stalk and absent splenium of corpus callosum,,,,,,
,,,brain mri flair bilateral parieto-occipital hyperintese lesions.,,,,,,
,,,"t1 w mri of brain, axial images showing solid cystic lesion, solid component being iso to hyper intense",,,,,,
,,,axial mri of the brain showing diffuse lesions mimicking secondary tumours.,,,,,,
,,,mri brain showing increased t2 flair signal in brainstem.,,,,,,
,,,"mri brain flair image axial view showing round shaped mass in the third ventricle, with enlarged both lateral ventricles shown by white arrows.",,,,,,
,,,,,,,,,mri image detailing a 6.6 × 5 cm cystic mass originating from segment 4b of the liver (arrow).
,,,,,t2 mri of the pelvis. coronal reconstruction demonstrates the location of the periclitoral mass (asterisk) in relationship to the bladder (b). note leftward displacement of the clitoral bodies (arrow).,,,,
,,,mri of the brain with region of restricted diffusion consistent with infarct in the territory of the left middle cerebral artery.,,,,,,
,,,,"mri of the abdomen and pelvis showing 4 fluid collections, the largest of which is 4 cm in diameter. the most superficial abscess is eroding into the fascial planes of the peritoneum with associated soft tissue edema of abdominal wall.",,,,,
,,,"mri brain, day 5 in icu",,,,,,
,,,,,,,,recurrent intramedullary diffuse spinal cord astrocytoma 6 months after resection in a 42-year-old female suffering from lower extremity weakness and unsteady walk for 5 months.the recurrent intramedullary tumor nodule (arrow) is shown on the mri scan.,
,,,brain mri of patient 2. flair images of the brain of patient 2 showing multiple periventricular cystic lesions in addition to attenuated signal in the subcortical white matter,,,,,,
,,,,,,,"mri t2 flair image demonstrating findings of posterior reversible encephalopathy syndrome involving bilateral parietal-occipital lobes, left greater than right (arrows).",,
,,,"the mri of the brain showing a cortical-based mass lesion at the medial aspect of the right temporal lobe, involving the amygdala and part of the head of the hippocampus",,,,,,
,,,,,,dynamic contrast enhanced mri of the artery phase showed a small defect in the left portal vein (arrow).,,,
,,,,,,,"mri of the cranium revealed infarct areas of posterior limb of capsula interna, right globus pallidus, left occipital lobe and bilateral thalamus.",,
,,,,,coronal view mri with arrow showing the myolipoma at the tongue base.,,,,
,,,,,coronal t2 image of mri,,,,
,,,,,,,mri: the caudate lobe showed compensatory hypertrophy after operation.,,
,,,mri of the brain showing multiple lesions consistent with fat embolism.,,,,,,
,,,"brain mri, axial view with contrast enhancement",,,,,,
,,,,,,left anterior inferior cerebellar artery hyperplasia and cochlear artery hyperplasia (selective angiography mri).,,,
,,,,,"use of 3t mri images as references for localizing posterior fossa structures on sagittal oblique ct images. a 3-dimensional mri acquisition (ir prepped 3d spgr sequence obtained on a 3 tesla ge mri unit at michigan state university, east lansing, michigan, usa. te min full, prep time 500, flip angle 8, bandwidth 15.63, fov 24, slice thickness 1.5, locs/slab 124, matrix 256×256 and 7:58 second acquisition) was used as a reference to correlate the findings on the sagittal oblique ct images. figure 1 is an axial image through the posterior fossa showing reference lines: sagittal and coronal lines through the fourth ventricle in addition to the 40° sagittal oblique line that runs lateral to the left eye (this line is parallel to the right petrous ridge). by moving this reference sagittal oblique line to the left and right of the fourth ventricle, the entire sagittal oblique series are produced from the 3d acquisition dataset. in addition to the fourth ventricle, two additional reference locations (ambiens cistern and trigone of the lateral ventricle) are used to locate structures on the other images within the sagittal oblique image series (figure 2a-d are at one slice thickness to the right of the fourth ventricle/midline and figure 3a-d are one slice to the left of the fourth ventricle/midline).",,,,
