chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
chest x-ray in posteroanterior projection. bilateral paracardiac alveolar infiltrate and accentuated increase in cardiac area were observed.,,,,,,,,,
ct scan of chest showing one of the lung nodules.,,,,,,,,,
axial computed tomography image through the lower chest showing the right kidney and right ureter behind the diaphragm and liver anterior to diaphragm with right ureter exiting through the right bochdalek foramen,,,,,,,,,
chest x-ray showed obliteration of the left costophrenic angle and increased inhomogenous density in the left parahilar zone.,,,,,,,,,
"chest x-ray: lung fields appear clear and there is no evidence of cardiomegaly. a smooth enlargement of the left hilum, initially felt to represent an enlarged pulmonary artery, can be seen.",,,,,,,,,
"coronal mip image (maximum intensity projection; image reconstruction thickness 10 mm) of high-resolution computed tomographic chest scan (performed on 160-slice mdct scanner; toshiba acquillon) showing multiple clusters of small centrilobular nodules in bilateral lungs, predominantly in lower lobes. bronchial wall thickening is also evident.",,,,,,,,,
chest x-ray showing the old pda clip in place,,,,,,,,,
"chest ct of a 16-year-old male survival patient.on day 40 after disease onset, chest ct showed a typical crescent sign and halo sign indicative of invasive pulmonary aspergillosis. the patient recovered from invasive pulmonary aspergillosis after voriconazole treatment for 12 months.",,,,,,,,,
chest ct reveals perforation of the right ventricle by the lead.,,,,,,,,,
contrast-enhanced axial slice computed tomography image of the upper chest region shows the tracheostomy tube (arrowhead) and the innominate artery (arrow). the tracheostomy tube was tightly attached to the innominate artery.,,,,,,,,,
chest x-ray showed a homogeneous soft tissue mass 20×30mm in the lingual area.,,,,,,,,,
chest x-ray ap: bilateral diffuse alveolar infiltration.,,,,,,,,,
radiograph of the chest shows absence of the lateral half of the clavicle and thin ribbon-like third rib on both sides,,,,,,,,,
"chest x-ray, control one month after the surgery in the baby boy.",,,,,,,,,
chest ct. no distant metastases,,,,,,,,,
"chest x-ray. chest roentgenogram showed air-space consolidation with an air bronchogram, predominantly in the right upper and left lower lung fields.",,,,,,,,,
post-chemotherapy ct scan of the chest from 2005 showing resolution of parenchymal nodular opacity,,,,,,,,,
"ap view of the chest demonstrates the ossification center of the right humerus is within the glenohumeral joint. the ossification center of the left humerus is not visualized. additionally, the left glenohumeral distance on the left is increased compared to the right.",,,,,,,,,
chest x ray postsurgery in case 2.,,,,,,,,,
rib tuberculosis – patient 12. ultrasonography of the lower chest wall shows a hypoechoic collection (arrow) with echogenic walls (arrow head) overlying the left kidney (curved arrow),,,,,,,,,
chest computed tomography scan showing dextrocardia,,,,,,,,,
"chest ct scan reveals periesophageal fluid collection in the lower esophagus, along with air collection around the esophagus.",,,,,,,,,
chest x-ray of the patient during hospitalization,,,,,,,,,
chest scanner of november 2007 showing micronodular pulmonary lesions.,,,,,,,,,
anteroposterior chest x-ray demonstrating a mediastinal mass.,,,,,,,,,
a chest radiograph showing complete empyema resolution after 4 weeks of clindamycin treatment.,,,,,,,,,
ap chest x-ray shows multiple lytic lesions with punctate calcifications in the anterior end of ribs and proximal metaphyses of both humeri extending to the diaphysis of right humerus,,,,,,,,,
chest x-ray posterior-anterior view showing homogeneous opacity in the left upper lung field with an elevation of the diaphragm on the left side.,,,,,,,,,
initial chest x-ray showed no acute findings.,,,,,,,,,
image showing the chest x-ray.non-homogenous shadowing with mild volume loss and opacification over the right upper heart border (white arrow).,,,,,,,,,
chest computed tomograph showing a solid tumor (15 × 10 × 8 cm) with a clear borders and internal calcification in the right thoracic cavity.,,,,,,,,,
plain x-ray of the chest and abdomen showing the radio-opaque tube in the blind upper oesophageal pouch. air in the stomach indicates the presence of a distal tracheooesophageal fistula.,,,,,,,,,
chest x-ray demonstrating interstitial infiltration.,,,,,,,,,
detection of b-lines on pleural ultrasonography in two-dimensional mode. the presence of vertical linear artefacts arising from the pleural line (b-lines or comet-tail artefacts) rules out pneumothorax in this patient with interstitial syndrome. reproduced with permission (accp - chest).,,,,,,,,,
"chest ct scan revealed large multi-cystic mass lesion on the right paratracheal area which was attached to the lower pole of the right thyroid gland, displaced the superior vena cava anteriorly and extended to the level of the azygous vein.",,,,,,,,,
ct scan of the chest illustrates bilateral pleural effusions.,,,,,,,,,
chest x-ray showed mild cardiomegaly and increased pulmonary vascularity in both lungs.,,,,,,,,,
chest ct scan showing bronchiectasis in a patient suffering from cystic fibrosis,,,,,,,,,
ct chest confirming a healing right second rib fracture (arrow). there is no evidence of bony destruction.,,,,,,,,,
chest radiograph (anterior-posterior view),,,,,,,,,
"immediate post-operative chest x-ray demonstrating a well formed left diaphragmatic outline (d), cardiac silhouette and an intra-abdominal gastric gas shadow (g).",,,,,,,,,
"second post-operative day chest x-ray, showing prominent mid-zone perihilar infiltrates",,,,,,,,,
chest x-ray showing miliary tubercular changes,,,,,,,,,
77-year-old man with esophageal rupture. portable chest radiograph shows subtle retrocardiac opacity (arrow) and blunted left costophrenic angle (arrowhead) consistent with mild pleural fluid and overlying consolidation.,,,,,,,,,
ct scan of chest showing bilateral lung opacification with septal thickening and esophageal dilatation.,,,,,,,,,
x-ray chest showing mediastinal widening,,,,,,,,,
x-chest showing an opacity in the left lower lobe of the lung.,,,,,,,,,
chest radiograph showing protaper file at the level of l2-l3 (immediately after ingestion).,,,,,,,,,
ct chest with large mediastinal mass,,,,,,,,,
chest x-ray at admission.,,,,,,,,,
(chest contrast enhanced ct): axial bone window ct demonstrating a solitary osteoblastic lesion at t5 (white arrow).,,,,,,,,,
computed tomography scan of the chest showing the tumour thrombus (th) in the right atrium.,,,,,,,,,
chest x-ray papillary adenocarcinoma view showing mass with consolidation,,,,,,,,,
"dramatic effect of egfr-tki for a poor ps egfr mutant. a chest ct scan obtained before treatment (a) and at 2 weeks after the administration of erlotinib (b) are shown. the diffuse granular shadow of the bilateral lung field had mostly disappeared after the initiation of therapy. consequently, the patient’s ps score improved from 3 to 1.",,,,,,,,,
chest x-ray showing mild cardiomegaly without pulmonary congestion,,,,,,,,,
"chest computed tomography (ct) scan of a 59-year-old patient, ex-smoker, retired farmer with evening fever for 2 weeks, weight loss, and pleuritic pain. chest radiograph with nodular lesion in the left inferior lobe. chest ct with juxta-pleural lesion in the left inferior lobe. a thoracotomy biopsy was performed. the histopathologic analysis showed granulomatous processes with areas of necrosis and fungus consistent with paracoccidioides brasiliensis, confirmed by fungus growth in sabouraud agar.",,,,,,,,,
chest x-ray showing left-side mediastinal mass,,,,,,,,,
a preoperative chest radiograph revealing haziness on left lung with compensatory hyperinflation of right lung,,,,,,,,,
chest x-ray on day 1,,,,,,,,,
x-ray chest posteroanterior view showing end of ryle's tube in left thorax,,,,,,,,,
"lymphoma. chest x-ray (cxr) on a human immunodeficiency virus patient that presented with multiple lung masses, which grew rapidly mimicking infection. note that there is no associated lymphadenopathy. well-defined solitary or multiple parenchymal nodules cxr are common. a percutaneous biopsy revealed a non-hodgkin’s lymphoma",,,,,,,,,
"chest computed tomography scan. the arrow indicates a malignant bone tumor, such as chondrosarcoma or osteogenic sarcoma, with an accompanying pathologic fracture on the left clavicle.",,,,,,,,,
preprocedure chest radiograph depicting mediastinal mass,,,,,,,,,
chest x-ray showing homogenous opacity in right lower zone with fluffy shadows in right upper zone,,,,,,,,,
chest x-ray showing guidewire,,,,,,,,,
chest x-ray showing ground glass appearance suggestive of acute respiratory distress syndrome,,,,,,,,,
chest mri (coronal t1 gradient echo sequence with intravenous gadolinium contrast enhancement) in a 50-year-old male patient with castleman disease. the left paraspinal pleural-based mass demonstrates homogenous enhancement following intravenous gadolinium administration (arrow).,,,,,,,,,
chest x-ray,,,,,,,,,
chest radiograph of our first patient demonstrating an infective infiltrate.,,,,,,,,,
"ct of the abdomen, chest and pelvis. arrows highlighting the bilateral adrenal masses",,,,,,,,,
frontal chest radiograph demonstrating evidence of old trauma on the right side. a near total opacity on the left side with fluid raising to the axilla. there is evidence of an underlying mass,,,,,,,,,
coronal view of the chest ct shows diffuse subpleural cysts (block arrow) of both lungs along the chest wall and the major fissure of lungs bilaterally.,,,,,,,,,
chest x-ray showing nasogastric tube entering right lower lobe bronchus,,,,,,,,,
chest radiograph showing left-sided hydropneumothorax,,,,,,,,,
chest x-ray showing cardiomegaly,,,,,,,,,
posterior-anterior view chest radiograph demonstrating right upper lobe atelectasis.,,,,,,,,,
"chest ct-scan showing the absence of the left lung, a right lung crossing the midline with a corresponding pneumothorax, and a posterior push of the heart",,,,,,,,,
coronal section of chest ct scan. gross distension of the stomach and a giant bezoar containing gas and food debris causing unusual patterning in the right hemithorax.,,,,,,,,,
