mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
"a 41-year-old premenopausal woman with invasive ductal carcinoma of the left breast who underwent preoperative breast mri. the tumor is not shown on the image. the post-contrast, fat-suppressed t1-weighted image of the first phase of dynamic study shows moderate background enhancement.",56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. coronal tse t2-weighted mri of the liver demonstrates the soft tissue component is hypointense on t2. note the aneurysmally dilated cystic component communicating with adjacent dilated intrahepatic biliary tree (black arrow).,mri image of patient a showing extensive leukodystrophy in frontal and occipital white matter (arrow).,chest x-ray – extensive bilateral shadows on the lower lung fields,axial computed tomography image displayed in a bone window. the image shows left lateral 10th and left posterior 11th rib fractures (arrows)
t1-weighted mri scan of a 59-year-old male with (postoperative) squamous cell carcinoma and cervical metastasis. note the spread along v2 (arrow).,t2-weighted sagittal mri image,"three-month post-treatment mri in a 69-year-old patient with concomitant bilateral treatment for prostate adenocarcinoma, gleason 6 (psa level of 8.14 ng/ml, 1/12 positive biopsy at right apex). axial t1 fs contrast-enhanced image (a) shows the persistence of two small areas of residual necrosis (arrowhead)",chest x-ray showing a mass in the left upper lung field (palla's sign).,computed tomography of left lung mass.
sagittal t1-weighted mri demonstrating a small posterior fossa with a low-lying tentorial attachment posteriorly. the tectum is beaked (white arrow) and partial corpus callosum agenesis is present.,t2-weighted mri showing bilateral hyperintense parieto-occipital lesions.,"t2w axial mri of the brain shows multiple cystic lesions with hypointense eccentric nodules, in both cerebral hemispheres, the midbrain, the cerebellum, and the extraocular muscles",chest x-ray showing malpositioned intercostal drainage tube in a case of pleural effusion on left side,"ten days after initial trauma, follow-up brain computed tomography showed a reappearance of convexity and falx subdural hematoma with severe and diffuse brain swelling."
"meningioma. contrast-enhanced, axial t1-weighted mri sequence, showing a homogeneous meningioma (arrow), with intense enhancement, located in the posterior fossa and encroaching upon the adjacent cerebellar parenchyma.",preoperative t2-weighted mri coronal cut of right shoulder shows partial-thickness ss lesion of high grade.,mri of sella turcica at 10-month follow-up (may 2015): normal pituitary size with discrete heterogenous enhancement.,preoperative chest x-ray showed no abnormal features,contrast-enhanced computed tomography image showed posterior mediastinal aneurysm with feeding vessel and adjacent hematoma.
endolymphatic sac tumor. non-contrast-enhanced axial t1-weighted mri sequence. patient with von-hippel-lindau disease presenting a bilateral endolymphatic sac tumor (arrows).,axial t2-weighted mri image showing a solid expansile lesion.,postoperative magnetic resonance imaging (mri) of the patient (6 months of follow up).,chest radiograph showing resolution of pulmonary oedema with treatment. x-ray shows pulmonary artery catheter in place,computed tomography view showing initiation of left ventricular wall calcification (arrowed)
"axial t1-weighted contrast-enhanced mri before treatment of a 13-year-old boy who had npc coexisting with hypertrophic adenoids. the interfaces between npc and hypertrophic adenoids are ill-defined, indicating that the adenoids were invaded (long arrow). the presence of hypertrophic adenoid extension into the left pharyngeal recesses is also detected (short arrow).",coronal t2-weighted (t2w) magnetic resonance imaging (mri) pelvis showing hypointense lobulated solid mass displacing the bladder laterally to the right with a cystic mass adherent to it (arrow),t1 weighted mri of the brain obtained after administration of intravenous gadolinium demonstrating a ring enhancing metastasis in the posterior left parietal lobe.,erect abdominal x-ray showing multiple air fluid levels in the small bowel of the patient.,peritoneal gastrointestinal stromal tumors in a 40-yearold male — axial contrast-enhanced computed tomography image showing large heterogeneously enhancing mass lesion (arrowhead) with necrosis in the peritoneal cavity
"a 35-year-old premenopausal woman with invasive ductal carcinoma of the left breast who underwent preoperative breast mri. the tumor is not shown on the image. the post-contrast, fat-suppressed t1-weighted image of the first phase of dynamic study shows mild background enhancement.","t2-weighted mri, coronal section, showing right hippocampal atrophy in a 36-year-old woman affected by non-classic cah (patient no. 23)",contrast-enhanced mri after the first operation showing a left-sided vs,standard thoracic x-ray: enlargement of the mediastinal opacity.,computed tomography scan showing retrosternal extension
"case 2. initial t1-weighted, axial mri after intravenous injection of paramagnetic contrast material shows an enhancing soft-tissue lesion at the apex of the right orbit extending through the superior orbital fissure onto the medial sphenoid wing and around the temporal lobe tip (arrowhead).",coronal view in t2-weighted mri after simple elbow dislocation: the lcl was rated to be partially torn (2×) and completely torn (2×),"mri shows asymmetrical soft tissue mass with a stringy appearance surrounding the thoracic vertebral bodies. on november 15, 2009, an mri was performed. the upper arrow indicated soft tissue masses with a stringy appearance surrounding the thoracic vertebral bodies, and the lower arrow suggested a soft tissue mass in the left kidney.",chest x-ray of the patient (anteroposterior view) shows a small and bell-shaped thoracic cage (white arrows) with a round heart (black arrow in the middle). thin ribs and slender long bones are also visible (black arrows on the ribs).,computed tomography (ct) of abdomen (coronal view) showing a colonic mass at the hepatic flexure (size appreciated with the help of a ruler).
post contrast coronal t1-weighted mri shows a heterogeneous increased signal at the left iliac bone (arrows) and at the left sacral wing.,metastasis. coronal t2-weighted mri sequence. patient with breast neoplasm presenting two lesions with perilesional edema.,axial plane pelvic mri showed an irregular mass with crenulated margins occupying the urethra and vagina.,lateral postoperative x-ray demonstrates typical surgical construct and alignment,computed tomography of the coronal view demonstrating the blockage of the ostiomeatal complex. a medial mass lesion at the lacrimal sac is noted. a bony osteium in the lacrimal bone is apparent from the first initial external dacryocystorhinostomy providing patency into the nasolacrimal duct.
t1-weighted mri: tumor of the posterior cranial fossa (single arrow) as well as the macroadenoma of the pituitary gland (double arrow).,magnetic resonance imaging (mri) head t2-weighted axial view showing empty sella (arrowed),"mri showing ballooning of the left ventricle, midline shift over 11 mm and contrast enhancement in the anterior horn of the left ventricle with obstruction of the interventricular foramen (of monro).","x-ray showing normal hip joint, normal lower end of femur, complete absence of both tibiae with small cartilaginous anlage, and presence of fibula on both legs. both the right and left foot had three tarsal bones, two metatarsals, and three toes each having two phalanges each",abdomino-pelvic computed tomography revealed multifocal enhancement indicating wall thickening of the jejunum and descending colon. segmental jejunal dilatation with a transition point at the jejunoileal junction level was suggestive of partial obstruction.
